"","SampleID","RawReads","N_RiboClear","P_RiboClear","N_Genomic","P_Genomic","N_Splice","P_Splice","N_NoHit","P_NoHit"
"1","A11_S1",50308549,13131,"  0.03",63550,"  0.13",0,"  0.00",50231868," 99.85"
"2","A12_S2",54741833,7954,"  0.01",52069,"  0.10",0,"  0.00",54681810," 99.89"
"3","A13_S3",57630393,22583,"  0.04",170017,"  0.30",0,"  0.00",57437793," 99.67"
"4","A15_S4",50900445,49378,"  0.10",220953,"  0.43",0,"  0.00",50630114," 99.47"
"5","A16_S5",34617564,1870,"  0.01",10171,"  0.03",0,"  0.00",34605523," 99.97"
"6","A17_PulledDown_S6",51024727,1247995,"  2.45",18232439," 35.73",0,"  0.00",31544293," 61.82"
"7","B11_PulledDown_S7",51794695,2635301,"  5.09",26810503," 51.76",0,"  0.00",22348891," 43.15"
"8","B12_PulledDown_S8",46693519,1741868,"  3.73",24654621," 52.80",0,"  0.00",20297030," 43.47"
"9","B13_PulledDown_S9",44580491,1587795,"  3.56",30087766," 67.49",0,"  0.00",12904930," 28.95"
"10","B15_PulledDown_S10",46284406,2040003,"  4.41",33259109," 71.86",0,"  0.00",10985294," 23.73"
"11","B16_PulledDown_S11",49477871,1263903,"  2.55",13212336," 26.70",0,"  0.00",35001632," 70.74"
"12","B17_S12",44452736,5832,"  0.01",58875,"  0.13",0,"  0.00",44388029," 99.85"
"13","HN878_broth_R1_S1",17237050,87011,"  0.50",16948739," 98.33",0,"  0.00",201300,"  1.17"
"14","HN878_broth_R2_S2",21285533,94512,"  0.44",20944088," 98.40",0,"  0.00",246933,"  1.16"
"15","HN878_broth_R3_S3",18098689,441558,"  2.44",17437100," 96.34",0,"  0.00",220031,"  1.22"
"16","HN878_mimic_D14_R1_S7",14564514,246382,"  1.69",14034409," 96.36",0,"  0.00",283723,"  1.95"
"17","HN878_mimic_D14_R2_S8",9492132,205970,"  2.17",9015663," 94.98",0,"  0.00",270499,"  2.85"
"18","HN878_mimic_D14_R3_S9",9747062,1668728," 17.12",7695498," 78.95",0,"  0.00",382836,"  3.93"
"19","HN878_mimic_D28_R1_S10",10838506,320190,"  2.95",10262316," 94.68",0,"  0.00",256000,"  2.36"
"20","HN878_mimic_D28_R2_S11",5697485,223165,"  3.92",5123138," 89.92",0,"  0.00",351182,"  6.16"
"21","HN878_mimic_D42_R1_S12",8541921,237191,"  2.78",8094036," 94.76",0,"  0.00",210694,"  2.47"
"22","HN878_mimic_D42_R2_S13",8593588,245657,"  2.86",8160037," 94.95",0,"  0.00",187894,"  2.19"
"23","HN878_mimic_D42_R3_S14",7241578,244246,"  3.37",6838422," 94.43",0,"  0.00",158910,"  2.19"
"24","HN878_mimic_D7_R1_S4",819230,46044,"  5.62",736237," 89.87",0,"  0.00",36949,"  4.51"
"25","HN878_mimic_D7_R2_S5",8989374,73792,"  0.82",8647303," 96.19",0,"  0.00",268279,"  2.98"
"26","HN878_mimic_D7_R3_S6",10152243,172507,"  1.70",9594873," 94.51",0,"  0.00",384863,"  3.79"
"27","HN878_R1_1Probe",15548944,5652370," 36.35",9651618," 62.07",0,"  0.00",244956,"  1.58"
"28","HN878_R2_1Probe",16784579,6001851," 35.76",10494619," 62.53",0,"  0.00",288109,"  1.72"
"29","iMTB_0_S31",15967085,848614,"  5.31",14753727," 92.40",0,"  0.00",364744,"  2.28"
"30","iMTB_0_S48",6170568,843604," 13.67",275623,"  4.47",0,"  0.00",5051341," 81.86"
"31","iMTB_14_S18",14993411,7044437," 46.98",3086166," 20.58",0,"  0.00",4862808," 32.43"
"32","iMTB_28_S19",13267148,1887601," 14.23",10958721," 82.60",0,"  0.00",420826,"  3.17"
"33","iMTB_28_S38",11133076,274898,"  2.47",171434,"  1.54",0,"  0.00",10686744," 95.99"
"34","iMTB_42_S20",13088631,3249179," 24.82",9171168," 70.07",0,"  0.00",668284,"  5.11"
"35","iMTB_42_S39",11066078,448070,"  4.05",113642,"  1.03",0,"  0.00",10504366," 94.92"
"36","KA_2_S12",20730843,2167344," 10.45",10794052," 52.07",0,"  0.00",7769447," 37.48"
"37","KA_2_S32",10495922,2758,"  0.03",9228,"  0.09",0,"  0.00",10483936," 99.89"
"38","KA_3_S13",23505524,2409288," 10.25",9273564," 39.45",0,"  0.00",11822672," 50.30"
"39","KA_3_S33",11878660,3465,"  0.03",9249,"  0.08",0,"  0.00",11865946," 99.89"
"40","LLL_Cav_L2_20mm_18_S24",14600517,1086253,"  7.44",10063327," 68.92",0,"  0.00",3450937," 23.64"
"41","LLL_Cav_L2_20mm_18_S41",8192568,1936,"  0.02",9723,"  0.12",0,"  0.00",8180909," 99.86"
"42","LLL_Cav_L2_20mm_21_S25",17673154,1244995,"  7.04",15118124," 85.54",0,"  0.00",1310035,"  7.41"
"43","LLL_Cav_L2_20mm_21_S42",7028955,12358,"  0.18",30284,"  0.43",0,"  0.00",6986313," 99.39"
"44","LUL_Cav_L1_15mm_12_S22",13294135,165884,"  1.25",10048312," 75.58",0,"  0.00",3079939," 23.17"
"45","LUL_Cav_L1_15mm_12_S39",7653174,251,"  0.00",7068,"  0.09",0,"  0.00",7645855," 99.90"
"46","LUL_Cav_L1_15_S14",18675677,837944,"  4.49",13431832," 71.92",0,"  0.00",4405901," 23.59"
"47","LUL_Cav_L1_15_S34",10295105,2665,"  0.03",22148,"  0.22",0,"  0.00",10270292," 99.76"
"48","mimic_only_D42_R1_S15",15948500,116891,"  0.73",944756,"  5.92",0,"  0.00",14886853," 93.34"
"49","R002_12_S25",14137812,978909,"  6.92",651200,"  4.61",0,"  0.00",12507703," 88.47"
"50","R002_12_S4",15281422,1050492,"  6.87",13702444," 89.67",0,"  0.00",528486,"  3.46"
"51","R002_14_S5",16250989,1946018," 11.97",13589668," 83.62",0,"  0.00",715303,"  4.40"
"52","R002_3_S1",18141586,2853907," 15.73",14273810," 78.68",0,"  0.00",1013869,"  5.59"
"53","R002_3_S22",9163241,72732,"  0.79",105494,"  1.15",0,"  0.00",8985015," 98.05"
"54","R002_7_S23",10570387,36417,"  0.34",289537,"  2.74",0,"  0.00",10244433," 96.92"
"55","R002_7_S2",17394497,594812,"  3.42",16226992," 93.29",0,"  0.00",572693,"  3.29"
"56","R002_9_S24",9132096,8755,"  0.10",176430,"  1.93",0,"  0.00",8946911," 97.97"
"57","R002_9_S3",16000017,399381,"  2.50",15061671," 94.14",0,"  0.00",538965,"  3.37"
"58","R006_11_S28",13534193,292470,"  2.16",433266,"  3.20",0,"  0.00",12808457," 94.64"
"59","R006_11_S8",15333132,1227702,"  8.01",13562516," 88.45",0,"  0.00",542914,"  3.54"
"60","R006_13_S29",13176043,4268,"  0.03",29848,"  0.23",0,"  0.00",13141927," 99.74"
"61","R006_13_S9",13293241,762804,"  5.74",10739688," 80.79",0,"  0.00",1790749," 13.47"
"62","R006_17_S10",12571642,1053578,"  8.38",10999599," 87.50",0,"  0.00",518465,"  4.12"
"63","R006_17_S30",14565241,222488,"  1.53",273797,"  1.88",0,"  0.00",14068956," 96.59"
"64","R006_19_S11",10874133,296056,"  2.72",10357656," 95.25",0,"  0.00",220421,"  2.03"
"65","R006_19_S31",11689962,1299296," 11.11",1665247," 14.25",0,"  0.00",8725419," 74.64"
"66","R006_7_S26",13017654,71997,"  0.55",55483,"  0.43",0,"  0.00",12890174," 99.02"
"67","R006_7_S6",15971057,3868288," 24.22",10826319," 67.79",0,"  0.00",1276450,"  7.99"
"68","R006_9_S27",14211748,1449,"  0.01",2425,"  0.02",0,"  0.00",14207874," 99.97"
"69","R006_9_S7",18322141,1077558,"  5.88",3733483," 20.38",0,"  0.00",13511100," 73.74"
"70","R011_L1_30_S27",2875108,617426," 21.47",940646," 32.72",0,"  0.00",1317036," 45.81"
"71","R011_L41_22_S23",21440861,1160221,"  5.41",9290427," 43.33",0,"  0.00",10990213," 51.26"
"72","R011_L4_27_S25",12302103,30459,"  0.25",84569,"  0.69",0,"  0.00",12187075," 99.06"
"73","R011_L4_28_S26",16651959,274199,"  1.65",756092,"  4.54",0,"  0.00",15621668," 93.81"
"74","R011_L5_18_S21",16726095,150304,"  0.90",4573244," 27.34",0,"  0.00",12002547," 71.76"
"75","R011_L5_19_S22",18283094,307570,"  1.68",2049503," 11.21",0,"  0.00",15926021," 87.11"
"76","R011_L6_12_S18",314,13,"  4.14",73," 23.25",0,"  0.00",228," 72.61"
"77","R011_R1_8_S16",14840350,84315,"  0.57",698569,"  4.71",0,"  0.00",14057466," 94.72"
"78","R011_R1_9_S17",10399139,72536,"  0.70",103970,"  1.00",0,"  0.00",10222633," 98.30"
"79","R011_R2_13_S19",16342292,162613,"  1.00",1468917,"  8.99",0,"  0.00",14710762," 90.02"
"80","R011_R2_14_S20",11415180,139902,"  1.23",397554,"  3.48",0,"  0.00",10877724," 95.29"
"81","R011_R3_25_S24",21199855,640216,"  3.02",12814571," 60.45",0,"  0.00",7745068," 36.53"
"82","R011_R4_31_S28",5778106,156670,"  2.71",2129190," 36.85",0,"  0.00",3492246," 60.44"
"83","RLL_Cav_Cluster_R4_13mm_23_S26",22972270,1076666,"  4.69",4957661," 21.58",0,"  0.00",16937943," 73.73"
"84","RLL_Cav_Cluster_R4_13mm_23_S43",8352180,468,"  0.01",911,"  0.01",0,"  0.00",8350801," 99.98"
"85","RLL_Cav_R3_18mm_X_15mm_16_S23",13483605,2015053," 14.94",10114181," 75.01",0,"  0.00",1354371," 10.04"
"86","RLL_Cav_R3_18mm_X_15mm_16_S40",8583947,15954,"  0.19",24162,"  0.28",0,"  0.00",8543831," 99.53"
"87","RLL_Cav_R3_28_S15",20659221,3992563," 19.33",7312151," 35.39",0,"  0.00",9354507," 45.28"
"88","RLL_Cav_R3_28_S35",15250637,6437,"  0.04",7317,"  0.05",0,"  0.00",15236883," 99.91"
"89","RUL_Cav_R1_30mm_X_22mm_26_S27",15255498,552297,"  3.62",13480321," 88.36",0,"  0.00",1222880,"  8.02"
"90","RUL_Cav_R1_30mm_X_22mm_26_S44",7623541,2844,"  0.04",30748,"  0.40",0,"  0.00",7589949," 99.56"
"91","RUL_Cav_R1_30mm_X_22mm_7_S37",10282728,3136,"  0.03",34898,"  0.34",0,"  0.00",10244694," 99.63"
"92","RUL_Cav_R2_18mm_X_12mm_27_S28",17735117,307198,"  1.73",16849678," 95.01",0,"  0.00",578241,"  3.26"
"93","RUL_Cav_R2_18mm_X_12mm_27_S45",7226151,8832,"  0.12",187772,"  2.60",0,"  0.00",7029547," 97.28"
"94","RUL_Cav_R2_18mm_X_12mm_8_S21",12610978,296801,"  2.35",11212977," 88.91",0,"  0.00",1101200,"  8.73"
"95","RUL_Cav_R2_18mm_X_12mm_8_S38",81,11," 13.58",40," 49.38",0,"  0.00",30," 37.04"
"96","Stearic_acid_0_S29",16995974,243418,"  1.43",16451222," 96.79",0,"  0.00",301334,"  1.77"
"97","Stearic_acid_0_S46",6542275,158972,"  2.43",947264," 14.48",0,"  0.00",5436039," 83.09"
"98","Stearic_acid_14_S30",16352462,2496551," 15.27",12921387," 79.02",0,"  0.00",934524,"  5.71"
"99","Stearic_acid_14_S47",170,7,"  4.12",103," 60.59",0,"  0.00",60," 35.29"
"100","Stearic_acid_28_S16",16385178,832727,"  5.08",15286079," 93.29",0,"  0.00",266372,"  1.63"
"101","Stearic_acid_28_S36",10155062,2122951," 20.91",1304727," 12.85",0,"  0.00",6727384," 66.25"
"102","Stearic_acid_42_S17",14766416,2595021," 17.57",11720323," 79.37",0,"  0.00",451072,"  3.05"
"103","Stearic_acid_42_S37",10362403,598404,"  5.77",172802,"  1.67",0,"  0.00",9591197," 92.56"
